Sample_ID,Treatment,Compartments,Original_label,Week,Irrigation,Group,group2
NG.33073_YG01,SBW25,rhizoplane,1_Rp_SB,2,Watered,2Watered,W_2SBW25
NG.33073_YG02,SBW25,rhizoplane,2_Rp_SB,2,Watered,2Watered,W_2SBW25
NG.33073_YG03,SBW25,rhizoplane,3_Rp_SB,2,Watered,2Watered,W_2SBW25
NG.33073_YG04,SBW25,rhizoplane,4_Rp_SB,2,Watered,2Watered,W_2SBW25
NG.33073_YG05,SBW25,rhizoplane,5_Rp_SB,2,Watered,2Watered,W_2SBW25
NG.33073_YG06,Mutant,rhizoplane,31_Rp_Mu,2,Watered,2Watered,W_2Mutant
NG.33073_YG07,Mutant,rhizoplane,32_Rp_Mu,2,Watered,2Watered,W_2Mutant
NG.33073_YG08,Mutant,rhizoplane,33_Rp_Mu,2,Watered,2Watered,W_2Mutant
NG.33073_YG09,Mutant,rhizoplane,34_Rp_Mu,2,Watered,2Watered,W_2Mutant
NG.33073_YG10,Mutant,rhizoplane,35_Rp_Mu,2,Watered,2Watered,W_2Mutant
NG.33073_YG11,Water,rhizoplane,61_Rp_Wa,2,Watered,2Watered,W_2Water
NG.33073_YG12,Water,rhizoplane,62_Rp_Wa,2,Watered,2Watered,W_2Water
NG.33073_YG13,Water,rhizoplane,63_Rp_Wa,2,Watered,2Watered,W_2Water
NG.33073_YG14,Water,rhizoplane,64_Rp_Wa,2,Watered,2Watered,W_2Water
NG.33073_YG15,Water,rhizoplane,65_Rp_Wa,2,Watered,2Watered,W_2Water
NG.33073_YG16,SBW25,rhizoplane,6_Rp_SB,4,Watered,4Watered,W_4SBW25
NG.33073_YG17,SBW25,rhizoplane,7_Rp_SB,4,Watered,4Watered,W_4SBW25
NG.33073_YG18,SBW25,rhizoplane,8_Rp_SB,4,Watered,4Watered,W_4SBW25
NG.33073_YG19,SBW25,rhizoplane,9_Rp_SB,4,Watered,4Watered,W_4SBW25
NG.33073_YG20,SBW25,rhizoplane,10_Rp_SB,4,Watered,4Watered,W_4SBW25
NG.33073_YG21,Mutant,rhizoplane,36_Rp_Mu,4,Watered,4Watered,W_4Mutant
NG.33073_YG22,Mutant,rhizoplane,37_Rp_Mu,4,Watered,4Watered,W_4Mutant
NG.33073_YG23,Mutant,rhizoplane,38_Rp_Mu,4,Watered,4Watered,W_4Mutant
NG.33073_YG24,Mutant,rhizoplane,39_Rp_Mu,4,Watered,4Watered,W_4Mutant
NG.33073_YG25,Mutant,rhizoplane,40_Rp_Mu,4,Watered,4Watered,W_4Mutant
NG.33073_YG26,Water,rhizoplane,66_Rp_Wa,4,Watered,4Watered,W_4Water
NG.33073_YG27,Water,rhizoplane,67_Rp_Wa,4,Watered,4Watered,W_4Water
NG.33073_YG28,Water,rhizoplane,68_Rp_Wa,4,Watered,4Watered,W_4Water
NG.33073_YG29,Water,rhizoplane,69_Rp_Wa,4,Watered,4Watered,W_4Water
NG.33073_YG30,Water,rhizoplane,70_Rp_Wa,4,Watered,4Watered,W_4Water
NG.33073_YG31,SBW25,rhizoplane,11_D_Rp_SB,4,Drought,4Drought,D_4SBW25
NG.33073_YG32,SBW25,rhizoplane,12_D_Rp_SB,4,Drought,4Drought,D_4SBW25
NG.33073_YG33,SBW25,rhizoplane,13_D_Rp_SB,4,Drought,4Drought,D_4SBW25
NG.33073_YG34,SBW25,rhizoplane,14_D_Rp_SB,4,Drought,4Drought,D_4SBW25
NG.33073_YG35,SBW25,rhizoplane,15_D_Rp_SB,4,Drought,4Drought,D_4SBW25
NG.33073_YG36,Mutant,rhizoplane,41_D_Rp_Mu,4,Drought,4Drought,D_4Mutant
NG.33073_YG37,Mutant,rhizoplane,42_D_Rp_Mu,4,Drought,4Drought,D_4Mutant
NG.33073_YG38,Mutant,rhizoplane,43_D_Rp_Mu,4,Drought,4Drought,D_4Mutant
NG.33073_YG39,Mutant,rhizoplane,44_D_Rp_Mu,4,Drought,4Drought,D_4Mutant
NG.33073_YG40,Mutant,rhizoplane,45_D_Rp_Mu,4,Drought,4Drought,D_4Mutant
NG.33073_YG41,Water,rhizoplane,71_D_Rp_Wa,4,Drought,4Drought,D_4Water
NG.33073_YG42,Water,rhizoplane,72_D_Rp_Wa,4,Drought,4Drought,D_4Water
NG.33073_YG43,Water,rhizoplane,73_D_Rp_Wa,4,Drought,4Drought,D_4Water
NG.33073_YG44,Water,rhizoplane,74_D_Rp_Wa,4,Drought,4Drought,D_4Water
NG.33073_YG45,Water,rhizoplane,75_D_Rp_Wa,4,Drought,4Drought,D_4Water
NG.33073_YG46,SBW25,rhizoplane,1_Rp_SB_5,5,Watered,5Watered,W_5SBW25
NG.33073_YG47,SBW25,rhizoplane,2_Rp_SB_5,5,Watered,5Watered,W_5SBW25
NG.33073_YG48,SBW25,rhizoplane,3_Rp_SB_5,5,Watered,5Watered,W_5SBW25
NG.33073_YG49,SBW25,rhizoplane,4_Rp_SB_5,5,Watered,5Watered,W_5SBW25
NG.33073_YG50,SBW25,rhizoplane,5_Rp_SB_5,5,Watered,5Watered,W_5SBW25
NG.33073_YG51,Mutant,rhizoplane,6_Rp_Mu,5,Watered,5Watered,W_5Mutant
NG.33073_YG52,Mutant,rhizoplane,7_Rp_Mu,5,Watered,5Watered,W_5Mutant
