"ASV";"Kingdom";"Phylum";"Class";"Order";"Family";"Genus"
"sequence_1";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";"Flavobacterium"
"sequence_2";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Pseudomonadaceae";"Pseudomonas"
"sequence_3";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";"Flavobacterium"
"sequence_4";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";"Flavobacterium"
"sequence_5";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";"Flavobacterium"
"sequence_6";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Comamonadaceae";NA
"sequence_7";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";"Flavobacterium"
"sequence_8";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";"Flavobacterium"
"sequence_9";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Oxalobacteraceae";"Massilia"
"sequence_10";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Xanthobacteraceae";"Bradyrhizobium"
"sequence_11";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Oxalobacteraceae";"Massilia"
"sequence_12";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";"Flavobacterium"
"sequence_13";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Bacillus"
"sequence_14";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";"Flavobacterium"
"sequence_15";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";"Flavobacterium"
"sequence_16";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";"Flavobacterium"
"sequence_17";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Xanthobacteraceae";"Pseudolabrys"
"sequence_18";"Bacteria";"Myxococcota";"Polyangia";"Polyangiales";"Polyangiaceae";"Sorangium"
"sequence_19";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Rhizobiaceae";NA
"sequence_20";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Devosiaceae";"Devosia"
"sequence_21";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Oxalobacteraceae";"Massilia"
"sequence_22";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Bacillus"
"sequence_23";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Bacillus"
"sequence_24";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";"Flavobacterium"
"sequence_25";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Oxalobacteraceae";"Massilia"
"sequence_26";"Bacteria";"Patescibacteria";"Saccharimonadia";"Saccharimonadales";"Saccharimonadaceae";"TM7a"
"sequence_27";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";"Flavobacterium"
"sequence_28";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Oxalobacteraceae";NA
"sequence_29";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Xanthobacteraceae";NA
"sequence_30";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";"Flavobacterium"
"sequence_31";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Methyloligellaceae";NA
"sequence_32";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";"Flavobacterium"
"sequence_33";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Rhizobiaceae";"Ensifer"
"sequence_34";"Bacteria";"Chloroflexi";"TK10";NA;NA;NA
"sequence_35";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Beijerinckiaceae";"Microvirga"
"sequence_36";"Bacteria";"Actinobacteriota";"Actinobacteria";"Corynebacteriales";"Mycobacteriaceae";"Mycobacterium"
"sequence_37";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Bacillus"
"sequence_38";"Bacteria";"Firmicutes";"Bacilli";"Paenibacillales";"Paenibacillaceae";"Paenibacillus"
"sequence_39";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";"Flavobacterium"
"sequence_40";"Bacteria";"Chloroflexi";"TK10";NA;NA;NA
"sequence_41";"Bacteria";"Firmicutes";"Bacilli";"Staphylococcales";"Staphylococcaceae";"Staphylococcus"
"sequence_42";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";"Flavobacterium"
"sequence_43";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Pseudomonadaceae";"Pseudomonas"
"sequence_44";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";"Flavobacterium"
"sequence_45";"Bacteria";"Chloroflexi";"TK10";NA;NA;NA
"sequence_46";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Gammaproteobacteria_Incertae_Sedis";"Unknown_Family";"Acidibacter"
"sequence_47";"Bacteria";"Chloroflexi";"Dehalococcoidia";"S085";NA;NA
"sequence_48";"Bacteria";"Actinobacteriota";"MB-A2-108";NA;NA;NA
"sequence_49";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Sphingomonadales";"Sphingomonadaceae";"Sphingomonas"
"sequence_50";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Oxalobacteraceae";"Massilia"
"sequence_51";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Xanthobacteraceae";NA
"sequence_52";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Cellvibrionales";"Cellvibrionaceae";"Cellvibrio"
"sequence_53";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Bacillus"
"sequence_54";"Bacteria";"Actinobacteriota";"Actinobacteria";"Pseudonocardiales";"Pseudonocardiaceae";"Pseudonocardia"
"sequence_55";"Bacteria";"Chloroflexi";"TK10";NA;NA;NA
"sequence_56";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Pseudomonadaceae";"Pseudomonas"
"sequence_57";"Bacteria";"Firmicutes";"Bacilli";"Paenibacillales";"Paenibacillaceae";"Paenibacillus"
"sequence_58";"Bacteria";"Actinobacteriota";"Actinobacteria";"Propionibacteriales";"Nocardioidaceae";"Kribbella"
"sequence_59";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Comamonadaceae";"Variovorax"
"sequence_60";"Bacteria";"Actinobacteriota";"Actinobacteria";"Micrococcales";"Microbacteriaceae";"Agromyces"
"sequence_61";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Bacillus"
"sequence_62";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Rhizobiaceae";"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"sequence_63";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Xanthomonadales";"Xanthomonadaceae";"Pseudoxanthomonas"
"sequence_64";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Oxalobacteraceae";"Massilia"
"sequence_65";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Oxalobacteraceae";"Massilia"
"sequence_66";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Gaiellales";"Gaiellaceae";"Gaiella"
"sequence_67";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Caulobacterales";"Caulobacteraceae";"Asticcacaulis"
"sequence_68";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Devosiaceae";"Devosia"
"sequence_69";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Enterococcaceae";"Enterococcus"
"sequence_70";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Listeriaceae";"Listeria"
"sequence_71";"Bacteria";"Firmicutes";"Clostridia";"Clostridiales";"Clostridiaceae";"Clostridium_sensu_stricto_13"
"sequence_72";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Bacillus"
"sequence_73";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Comamonadaceae";"Polaromonas"
"sequence_74";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Planococcaceae";"Psychrobacillus"
"sequence_75";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Rhizobiaceae";"Allorhizobium-Neorhizobium-Pararhizobium-Rhizobium"
"sequence_76";"Bacteria";"Actinobacteriota";"Actinobacteria";"Micrococcales";"Microbacteriaceae";"Microbacterium"
"sequence_77";"Bacteria";"Nitrospirota";"Nitrospiria";"Nitrospirales";"Nitrospiraceae";"Nitrospira"
"sequence_78";"Bacteria";"Chloroflexi";"TK10";NA;NA;NA
"sequence_79";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Bacillus"
"sequence_80";"Bacteria";"Acidobacteriota";"Subgroup_11";NA;NA;NA
"sequence_81";"Bacteria";"Actinobacteriota";"Actinobacteria";"Micrococcales";"Microbacteriaceae";"Agromyces"
"sequence_82";"Bacteria";"Firmicutes";"Bacilli";"Bacillales";"Bacillaceae";"Bacillus"
"sequence_83";"Bacteria";"Actinobacteriota";"Actinobacteria";"Propionibacteriales";"Nocardioidaceae";"Nocardioides"
"sequence_84";"Bacteria";"Actinobacteriota";"Actinobacteria";"Micrococcales";"Micrococcaceae";"Pseudarthrobacter"
"sequence_85";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Nitrosomonadaceae";"Nitrosospira"
"sequence_86";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Devosiaceae";"Devosia"
"sequence_87";"Bacteria";"Actinobacteriota";"Actinobacteria";"Glycomycetales";"Glycomycetaceae";"Glycomyces"
"sequence_88";"Bacteria";"Actinobacteriota";"Actinobacteria";"Micrococcales";"Micrococcaceae";"Arthrobacter"
"sequence_89";"Bacteria";"Chloroflexi";"Ktedonobacteria";"C0119";NA;NA
"sequence_90";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Xanthobacteraceae";NA
"sequence_91";"Bacteria";"Actinobacteriota";"Actinobacteria";"Propionibacteriales";"Nocardioidaceae";"Nocardioides"
"sequence_92";"Bacteria";"Actinobacteriota";"Actinobacteria";"Propionibacteriales";"Propionibacteriaceae";"Microlunatus"
"sequence_93";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Burkholderiales";"Sutterellaceae";NA
"sequence_94";"Bacteria";"Patescibacteria";"Saccharimonadia";"Saccharimonadales";"Saccharimonadaceae";"TM7a"
"sequence_95";"Bacteria";"Chloroflexi";"Chloroflexia";"Chloroflexales";"Roseiflexaceae";NA
"sequence_96";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Xanthobacteraceae";"Pseudolabrys"
"sequence_97";"Bacteria";"Myxococcota";"Polyangia";"Haliangiales";"Haliangiaceae";"Haliangium"
"sequence_98";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";"Flavobacterium"
"sequence_99";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";"Flavobacterium"
"sequence_100";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Rhizobiaceae";"Phyllobacterium"
"sequence_101";"Bacteria";"Actinobacteriota";"Actinobacteria";"Micrococcales";"Microbacteriaceae";"Galbitalea"
"sequence_102";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Gaiellales";NA;NA
"sequence_103";"Bacteria";"Chloroflexi";"TK10";NA;NA;NA
"sequence_104";"Bacteria";"Bacteroidota";"Bacteroidia";"Flavobacteriales";"Flavobacteriaceae";"Flavobacterium"
"sequence_105";"Bacteria";"Actinobacteriota";"Thermoleophilia";"Gaiellales";"Gaiellaceae";"Gaiella"
"sequence_106";"Bacteria";"Actinobacteriota";"Actinobacteria";"Propionibacteriales";"Nocardioidaceae";"Nocardioides"
"sequence_107";"Bacteria";"Patescibacteria";"Saccharimonadia";"Saccharimonadales";"Saccharimonadaceae";"TM7a"
"sequence_108";"Bacteria";"Proteobacteria";"Gammaproteobacteria";"Pseudomonadales";"Pseudomonadaceae";"Pseudomonas"
"sequence_109";"Bacteria";"Actinobacteriota";"Actinobacteria";"Propionibacteriales";"Nocardioidaceae";"Aeromicrobium"
"sequence_110";"Bacteria";"Proteobacteria";"Alphaproteobacteria";"Rhizobiales";"Devosiaceae";"Devosia"
"sequence_111";"Bacteria";"Actinobacteriota";"Actinobacteria";"Micrococcales";"Microbacteriaceae";"Agromyces"
"sequence_112";"Bacteria";"Chloroflexi";"TK10";NA;NA;NA
"sequence_113";"Bacteria";"Firmicutes";"Bacilli";"Lactobacillales";"Lactobacillaceae";"Lactobacillus"
"sequence_114";"Bacteria";"Chloroflexi";"TK10";NA;NA;NA
