input	filtered	denoisedF	denoisedR	merged	nonchim
47102	43413	38830	41630	30060	29142
25920	24186	21686	22980	17222	16744
32901	30356	26682	28865	19817	19314
35613	33088	29193	31535	22072	20847
39989	36891	32397	35254	24115	22980
39688	36797	31699	35068	24098	23624
33974	31229	28630	29829	22442	22056
40946	37772	34698	36368	28178	27265
42615	39541	36464	38107	29839	28597
30381	28073	25967	26692	20560	20145
30499	28120	24043	26515	17506	16731
35785	33042	28375	31457	21288	20241
38877	36091	31605	34450	24446	23063
31871	29658	27219	28348	22112	21597
33488	30820	26602	29317	19868	19328
25738	23976	20944	22529	16589	12766
34678	32224	28316	30602	22652	20043
33294	30931	26679	29355	20587	19128
28363	26435	22948	25090	17837	15303
29152	27181	23698	25705	18057	16424
27922	26018	22805	24766	18047	16304
29106	26987	23480	25632	18319	16681
34403	32054	28539	30718	23116	20474
30279	28211	24800	27115	19936	17504
28976	26956	23731	25620	18811	16280
30830	28763	25637	27619	20978	18082
25580	23812	21156	22648	16786	14486
26311	24370	21440	23108	16553	14826
26906	24945	21879	23697	17204	15320
31510	29086	25851	27693	20651	17921
34896	32017	27272	30480	20815	20002
31695	29289	25019	27715	18710	18213
37187	34197	29807	32543	22291	21775
28078	25996	22066	24600	16350	16131
30047	27846	23977	26382	17998	17552
41409	38330	33414	36478	25274	24705
34645	32009	27691	30408	20595	20109
25345	23396	19824	21977	14805	14450
33874	31353	26752	29522	19698	19283
34043	31436	27172	29902	21027	20439
31258	28906	24980	27433	18977	18056
32196	29725	25726	28289	19295	18720
22732	20938	17822	19705	13324	12905
38039	35368	30463	33683	22838	21582
37650	30009	25804	28576	18350	17996
44660	41415	36989	39825	29884	26997
39294	36757	33433	35212	27793	23555
39718	37095	33260	35725	27099	23615
34416	31956	28513	30610	23005	21137
38172	35646	31546	34154	25102	22617
31360	29012	25420	27662	19642	18328
33080	30733	26138	29188	19887	18968
40886	38023	34355	36532	27829	23920
30435	28231	24816	27083	20085	17892
29415	27378	24272	26174	19539	17246
43140	40162	35430	38389	28175	25200
47244	43906	39329	42080	31605	28215
38360	35633	31388	33982	24752	22867
31791	29467	25829	28104	20225	19288
35058	32475	28420	31033	22492	20320
30047	27976	24620	26701	19160	16599
36199	33673	29841	32217	23880	21457
37158	34436	30621	33001	24107	21848
38632	36072	32079	34427	25325	22851
40038	37383	33751	35758	26774	23758
42873	40035	36105	38692	29276	25933
28636	26683	23601	25523	18778	16885
36978	34369	30565	33065	24061	21400
35113	32636	28960	31209	22854	20467
33248	30982	26898	29499	20721	18800
41778	38773	34533	37281	27355	25052
33870	31383	27434	30014	21314	18786
40235	37382	32290	35656	24282	19643
33196	30836	27422	29424	21737	19520
38590	35887	32181	34524	25813	22978
36019	33445	32442	33440	31669	31665
28459	26388	25480	26381	24970	24968
36997	33713	33581	33581	32499	20567
38449	35954	35531	35865	34491	21808
204	183	176	174	168	168
40	33	28	21	19	19
