input	filtered	denoisedF	nonchim
281562	249426	225652	223293
141493	124956	106500	105481
115562	102558	88152	87812
49115	43278	34738	34707
444	82	1	1
240835	212575	185248	183665
164914	144176	120790	119875
249814	216604	186079	185182
166735	146629	123867	123050
607	138	1	1
240357	213914	185798	184556
229580	205206	180276	178593
246841	219925	192791	191690
241198	215353	191380	189662
294826	261727	231776	229476
221681	197349	172035	170414
282912	247465	210830	209907
317287	283064	254201	251878
302574	271087	239676	236969
98090	88397	74136	73542
80361	72104	59110	58721
35536	31761	24509	24509
240937	209803	183882	181489
164604	143615	118209	117170
96690	82902	64926	64789
194356	167941	140972	140025
264262	234767	209448	206832
90917	76559	55153	54987
81511	69688	55834	55776
681123	620533	614851	576559
292953	258577	235562	232268
39853	28183	13583	13583
77871	68206	55165	55145
270611	234882	231368	222437
39305	34898	27852	27737
87257	77155	65187	65074
33947	30368	21920	21873
44785	40246	31464	31391
77076	68389	55641	55336
187584	167673	145213	143839
83270	74204	60728	60463
154007	136759	119883	118941
44321	38876	26985	26985
26190	22600	15070	15070
83713	72261	54456	54271
67587	58996	46305	46305
73518	64805	50952	50737
129995	115078	95478	94748
41003	32233	17797	17797
93354	82866	67327	67028
83208	74457	59794	59614
75681	67331	53869	53708
111613	99463	81346	81025
74013	65970	53274	53150
71292	63197	49064	48886
130319	116988	97392	96816
134710	120847	99876	99336
189883	166179	140755	139932
68610	58749	41215	41215
84053	72755	56948	56836
139501	123148	100562	100012
142256	125645	107170	106823
107136	91938	70983	70680
170477	147015	118048	117391
168635	145414	117233	116722
181568	158230	132604	132154
101451	90184	72233	72065
62558	55066	42962	42895
144706	128653	109585	109194
300943	266466	237509	235679
130596	115798	96019	95373
247093	219897	191062	189456
103066	91009	73357	72959
211929	187456	160720	159849
80955	71394	57463	57268
108077	94559	77353	76989
161204	144059	123625	122880
231043	204386	178505	177669
89754	78687	62780	62435
218136	191863	164293	163178
182151	160240	134180	133490
168535	148549	125420	124735
95955	84361	68034	67701
97550	87092	73486	73345
135840	121282	103711	103173
200045	175898	150097	148766
401914	357122	323782	320141
125674	111010	90363	89967
187498	165358	148210	147267
101500	90642	79359	78595
150152	133772	117289	116864
151185	132992	110203	109447
376491	334442	302148	299391
208480	184088	156590	155471
108682	93140	81638	81432
131258	116696	100705	100222
62798	55525	46368	46320
153995	138215	123474	122729
83610	74734	59783	59644
106898	95147	80018	79690
125049	111689	95167	94987
56705	50662	43134	42958
127972	112368	96135	95846
92660	80550	66079	65853
110077	95603	78736	78566
68108	61046	48533	48403
42712	35650	22569	22569
87961	77246	61593	61350
74612	65854	51448	51448
87262	77429	65160	65083
107115	95451	80970	80688
64056	57413	45419	45333
83476	74575	63909	63824
128017	114437	96441	96136
105228	94418	76825	76455
192873	172141	149368	148694
272965	246059	222281	221044
143082	128530	112267	111982
80489	70626	59235	59070
49610	43956	32871	32805
25820	19481	10601	10523
155411	138244	118737	118284
107594	96802	80174	79933
108245	96348	79247	79027
182813	163699	141038	140563
173722	156823	136454	135813
277149	248632	225459	224180
122839	110302	94630	94266
95418	85165	72079	71986
101406	89965	73527	73363
98441	87947	70630	70233
150703	133848	112968	112375
213670	190797	167187	166502
111007	99390	84874	84702
105323	94094	78574	78240
84122	75814	63169	63096
57937	51432	37671	37499
120416	105455	84614	84389
26234	23147	15833	15780
108023	95404	77738	77277
104749	93497	79074	78938
116176	103464	87955	87871
157931	139375	115369	114713
84671	75379	61114	60974
159975	142017	122209	121913
207731	184029	160384	159299
169798	148124	122708	122294
154809	137911	118330	118054
179019	157334	141249	140487
52441	46287	38581	38502
192055	163562	141434	141024
165767	145901	123043	122316
184861	161835	136684	136071
200749	178723	157716	156647
