Sample_ID,Treatment,Compartments,Original_label,WEEK,Irrigation,Name1,Name2,sample name,Group,ID
I23-1089-A01,SBW25,rhizosphere,1_RS_SB,2weeks,Watered,W2RSSB_1,W2RSSB,YG1,2W,I23-1089-A01
I23-1089-B01,SBW25,rhizosphere,2_RS_SB,2weeks,Watered,W2RSSB_2,W2RSSB,YG2,2W,I23-1089-B01
I23-1089-C01,SBW25,rhizosphere,3_RS_SB,2weeks,Watered,W2RSSB_3,W2RSSB,YG3,2W,I23-1089-C01
I23-1089-D01,SBW25,rhizosphere,4_RS_SB,2weeks,Watered,W2RSSB_4,W2RSSB,YG4,2W,I23-1089-D01
I23-1089-E01,SBW25,rhizosphere,5_RS_SB,2weeks,Watered,W2RSSB_5,W2RSSB,YG5,2W,I23-1089-E01
I23-1089-F01,Mutant,rhizosphere,31_RS_Mu,2weeks,Watered,W2RSMu_1,W2RSMu,YG6,2W,I23-1089-F01
I23-1089-G01,Mutant,rhizosphere,32_RS_Mu,2weeks,Watered,W2RSMu_2,W2RSMu,YG7,2W,I23-1089-G01
I23-1089-H01,Mutant,rhizosphere,33_RS_Mu,2weeks,Watered,W2RSMu_3,W2RSMu,YG8,2W,I23-1089-H01
I23-1089-A02,Mutant,rhizosphere,34_RS_Mu,2weeks,Watered,W2RSMu_4,W2RSMu,YG9,2W,I23-1089-A02
I23-1089-B02,Mutant,rhizosphere,35_RS_Mu,2weeks,Watered,W2RSMu_5,W2RSMu,YG10,2W,I23-1089-B02
I23-1089-C02,Control,rhizosphere,61_RS_C,2weeks,Watered,W2RSC_1,W2RSC,YG11,2W,I23-1089-C02
I23-1089-D02,Control,rhizosphere,62_RS_C,2weeks,Watered,W2RSC_2,W2RSC,YG12,2W,I23-1089-D02
I23-1089-E02,Control,rhizosphere,63_RS_C,2weeks,Watered,W2RSC_3,W2RSC,YG13,2W,I23-1089-E02
I23-1089-F02,Control,rhizosphere,64_RS_C,2weeks,Watered,W2RSC_4,W2RSC,YG14,2W,I23-1089-F02
I23-1089-G02,Control,rhizosphere,65_RS_C,2weeks,Watered,W2RSC_5,W2RSC,YG15,2W,I23-1089-G02
I23-1089-H02,SBW25,rhizoplane,1_RP_SB,2weeks,Watered,W2RPSB_1,W2RPSB,YG16,2W,I23-1089-H02
I23-1089-A03,SBW25,rhizoplane,2_RP_SB,2weeks,Watered,W2RPSB_2,W2RPSB,YG17,2W,I23-1089-A03
I23-1089-B03,SBW25,rhizoplane,3_RP_SB,2weeks,Watered,WW2RPSB_3,W2RPSB,YG18,2W,I23-1089-B03
I23-1089-C03,SBW25,rhizoplane,4_RP_SB,2weeks,Watered,W2RPSB_4,W2RPSB,YG19,2W,I23-1089-C03
I23-1089-D03,SBW25,rhizoplane,5_RP_SB,2weeks,Watered,W2RPSB_5,W2RPSB,YG20,2W,I23-1089-D03
I23-1089-E03,Mutant,rhizoplane,31_RP_Mu,2weeks,Watered,W2RPMu_1,W2RPMu,YG21,2W,I23-1089-E03
I23-1089-F03,Mutant,rhizoplane,32_RP_Mu,2weeks,Watered,W2RPMu_2,W2RPMu,YG22,2W,I23-1089-F03
I23-1089-G03,Mutant,rhizoplane,33_RP_Mu,2weeks,Watered,W2RPMu_3,W2RPMu,YG23,2W,I23-1089-G03
I23-1089-H03,Mutant,rhizoplane,34_RP_Mu,2weeks,Watered,W2RPMu_4,W2RPMu,YG24,2W,I23-1089-H03
I23-1089-A04,Mutant,rhizoplane,35_RP_Mu,2weeks,Watered,W2RPMu_5,W2RPMu,YG25,2W,I23-1089-A04
I23-1089-B04,Control,rhizoplane,61_RP_C,2weeks,Watered,W2RPC_1,W2RPC,YG26,2W,I23-1089-B04
I23-1089-C04,Control,rhizoplane,62_RP_C,2weeks,Watered,W2RPC_2,W2RPC,YG27,2W,I23-1089-C04
I23-1089-D04,Control,rhizoplane,63_RP_C,2weeks,Watered,W2RPC_3,W2RPC,YG28,2W,I23-1089-D04
I23-1089-E04,Control,rhizoplane,64_RP_C,2weeks,Watered,W2RPC_4,W2RPC,YG29,2W,I23-1089-E04
I23-1089-F04,Control,rhizoplane,65_RP_C,2weeks,Watered,W2RPC_5,W2RPC,YG30,2W,I23-1089-F04
I23-1089-G04,NA,NA,SBW25_1,1,NA,SBW25_1,SBW25,YG31,Ctrl,I23-1089-G04
I23-1089-H04,NA,NA,SBW25_2,2,NA,SBW25_2,SBW25,YG32,Ctrl,I23-1089-H04
I23-1089-A05,NA,NA,Water_1,1,NA,Water_1,Water,YG33,Ctrl,I23-1089-A05
I23-1089-B05,NA,NA,Water_2,2,NA,Water_2,Water,YG34,Ctrl,I23-1089-B05
I23-1093-A01,SBW25,rhizosphere,6_RS_SB,4weeks,Watered,W4RSSB_1,W4RSSB,YG35,4W,I23-1093-A01
I23-1093-B01,SBW25,rhizosphere,7_RS_SB,4weeks,Watered,W4RSSB_2,W4RSSB,YG36,4W,I23-1093-B01
I23-1093-C01,SBW25,rhizosphere,8_RS_SB,4weeks,Watered,W4RSSB_3,W4RSSB,YG37,4W,I23-1093-C01
I23-1093-D01,SBW25,rhizosphere,9_RS_SB,4weeks,Watered,W4RSSB_4,W4RSSB,YG38,4W,I23-1093-D01
I23-1093-E01,SBW25,rhizosphere,10_RS_SB,4weeks,Watered,W4RSSB_5,W4RSSB,YG39,4W,I23-1093-E01
I23-1093-F01,Mutant,rhizosphere,36_RS_Mu,4weeks,Watered,W4RSMu_1,W4RSMu,YG40,4W,I23-1093-F01
I23-1093-G01,Mutant,rhizosphere,37_RS_Mu,4weeks,Watered,W4RSMu_2,W4RSMu,YG41,4W,I23-1093-G01
I23-1093-H01,Mutant,rhizosphere,38_RS_Mu,4weeks,Watered,W4RSMu_3,W4RSMu,YG42,4W,I23-1093-H01
I23-1093-A02,Mutant,rhizosphere,39_RS_Mu,4weeks,Watered,W4RSMu_4,W4RSMu,YG43,4W,I23-1093-A02
I23-1093-B02,Mutant,rhizosphere,40_RS_Mu,4weeks,Watered,W4RSMu_5,W4RSMu,YG44,4W,I23-1093-B02
I23-1093-C02,Control,rhizosphere,66_RS_C,4weeks,Watered,W4RSC_1,W4RSC,YG45,4W,I23-1093-C02
I23-1093-D02,Control,rhizosphere,67_RS_C,4weeks,Watered,W4RSC_2,W4RSC,YG46,4W,I23-1093-D02
I23-1093-E02,Control,rhizosphere,68_RS_C,4weeks,Watered,W4RSC_3,W4RSC,YG47,4W,I23-1093-E02
I23-1093-F02,Control,rhizosphere,69_RS_C,4weeks,Watered,W4RSC_4,W4RSC,YG48,4W,I23-1093-F02
I23-1093-G02,Control,rhizosphere,70_RS_C,4weeks,Watered,W4RSC_5,W4RSC,YG49,4W,I23-1093-G02
I23-1093-H02,SBW25,rhizoplane,6_RP_SB,4weeks,Watered,W4RPSB_1,W4RPSB,YG50,4W,I23-1093-H02
I23-1093-A03,SBW25,rhizoplane,7_RP_SB,4weeks,Watered,W4RPSB_2,W4RPSB,YG51,4W,I23-1093-A03
I23-1093-B03,SBW25,rhizoplane,8_RP_SB,4weeks,Watered,W4RPSB_3,W4RPSB,YG52,4W,I23-1093-B03
I23-1093-C03,SBW25,rhizoplane,9_RP_SB,4weeks,Watered,W4RPSB_4,W4RPSB,YG53,4W,I23-1093-C03
I23-1093-D03,SBW25,rhizoplane,10_RP_SB,4weeks,Watered,W4RPSB_5,W4RPSB,YG54,4W,I23-1093-D03
I23-1093-E03,Mutant,rhizoplane,36_RP_Mu,4weeks,Watered,W4RPMu_1,W4RPMu,YG55,4W,I23-1093-E03
I23-1093-F03,Mutant,rhizoplane,37_RP_Mu,4weeks,Watered,W4RPMu_2,W4RPMu,YG56,4W,I23-1093-F03
I23-1093-G03,Mutant,rhizoplane,38_RP_Mu,4weeks,Watered,W4RPMu_3,W4RPMu,YG57,4W,I23-1093-G03
I23-1093-H03,Mutant,rhizoplane,39_RP_Mu,4weeks,Watered,W4RPMu_4,W4RPMu,YG58,4W,I23-1093-H03
I23-1093-A04,Mutant,rhizoplane,40_RP_Mu,4weeks,Watered,W4RPMu_5,W4RPMu,YG59,4W,I23-1093-A04
I23-1093-B04,Control,rhizoplane,66_RP_C,4weeks,Watered,W4RPC_1,W4RPC,YG60,4W,I23-1093-B04
I23-1093-C04,Control,rhizoplane,67_RP_C,4weeks,Watered,W4RPC_2,W4RPC,YG61,4W,I23-1093-C04
I23-1093-D04,Control,rhizoplane,68_RP_C,4weeks,Watered,W4RPC_3,W4RPC,YG62,4W,I23-1093-D04
I23-1093-E04,Control,rhizoplane,69_RP_C,4weeks,Watered,W4RPC_4,W4RPC,YG63,4W,I23-1093-E04
I23-1093-F04,Control,rhizoplane,70_RP_C,4weeks,Watered,W4RPC_5,W4RPC,YG64,4W,I23-1093-F04
I23-1093-A05,SBW25,rhizosphere,11_D_RS_SB,4weeks,Drought,D4RSSB_1,D4RSSB,YG65,4D,I23-1093-A05
I23-1093-B05,SBW25,rhizosphere,12_D_RS_SB,4weeks,Drought,D4RSSB_2,D4RSSB,YG66,4D,I23-1093-B05
I23-1093-C05,SBW25,rhizosphere,13_D_RS_SB,4weeks,Drought,D4RSSB_3,D4RSSB,YG67,4D,I23-1093-C05
I23-1093-D05,SBW25,rhizosphere,14_D_RS_SB,4weeks,Drought,D4RSSB_4,D4RSSB,YG68,4D,I23-1093-D05
I23-1093-E05,SBW25,rhizosphere,15_D_RS_SB,4weeks,Drought,D4RSSB_5,D4RSSB,YG69,4D,I23-1093-E05
I23-1093-F05,Mutant,rhizosphere,41_D_RS_Mu,4weeks,Drought,D4RSMu_1,D4RSMu,YG70,4D,I23-1093-F05
I23-1093-G05,Mutant,rhizosphere,42_D_RS_Mu,4weeks,Drought,D4RSMu_2,D4RSMu,YG71,4D,I23-1093-G05
I23-1093-H05,Mutant,rhizosphere,43_D_RS_Mu,4weeks,Drought,D4RSMu_3,D4RSMu,YG72,4D,I23-1093-H05
I23-1093-A06,Mutant,rhizosphere,44_D_RS_Mu,4weeks,Drought,D4RSMu_4,D4RSMu,YG73,4D,I23-1093-A06
I23-1093-B06,Mutant,rhizosphere,45_D_RS_Mu,4weeks,Drought,D4RSMu_5,D4RSMu,YG74,4D,I23-1093-B06
I23-1093-C06,Control,rhizosphere,71_D_RS_C,4weeks,Drought,D4RSC_1,D4RSC,YG75,4D,I23-1093-C06
I23-1093-D06,Control,rhizosphere,72_D_RS_C,4weeks,Drought,D4RSC_2,D4RSC,YG76,4D,I23-1093-D06
I23-1093-E06,Control,rhizosphere,73_D_RS_C,4weeks,Drought,D4RSC_3,D4RSC,YG77,4D,I23-1093-E06
I23-1093-F06,Control,rhizosphere,74_D_RS_C,4weeks,Drought,D4RSC_4,D4RSC,YG78,4D,I23-1093-F06
I23-1093-G06,Control,rhizosphere,75_D_RS_C,4weeks,Drought,D4RSC_5,D4RSC,YG79,4D,I23-1093-G06
I23-1093-H06,SBW25,rhizoplane,11_D_RP_SB,4weeks,Drought,D4RPSB_1,D4RPSB,YG80,4D,I23-1093-H06
I23-1093-A07,SBW25,rhizoplane,12_D_RP_SB,4weeks,Drought,D4RPSB_2,D4RPSB,YG81,4D,I23-1093-A07
