input	filtered	denoisedF	denoisedR	merged	nonchim	Sample	Treatment	Time
281562	249426	225652	222054	212631	205083	I23-1089-A01	W2RSSB	W2
141493	124956	106500	104411	98210	94979	I23-1089-A02	W2RSMu	W2
115562	102558	88152	86869	82009	80201	I23-1089-A03	W2RPSB	W2
49115	43278	34738	34221	31391	30234	I23-1089-A04	W2RPMu	W2
444	82	1	1	0	0	I23-1089-A05	Water	Ctrl
240835	212575	185248	183829	173267	167532	I23-1089-B01	W2RSSB	W2
164914	144176	120790	121954	113174	109258	I23-1089-B02	W2RSMu	W2
249814	216604	186079	189481	176513	172242	I23-1089-B03	W2RPSB	W2
166735	146629	123867	124974	115863	112110	I23-1089-B04	W2RPC	W2
607	138	1	2	0	0	I23-1089-B05	Water	Ctrl
240357	213914	185798	178864	169128	163719	I23-1089-C01	W2RSSB	W2
229580	205206	180276	171768	163688	158285	I23-1089-C02	W2RSC	W2
246841	219925	192791	183034	174201	169764	I23-1089-C03	W2RPSB	W2
241198	215353	191380	184305	175982	170086	I23-1089-C04	W2RPC	W2
294826	261727	231776	226266	215411	208432	I23-1089-D01	W2RSSB	W2
221681	197349	172035	164884	156756	151433	I23-1089-D02	W2RSC	W2
282912	247465	210830	210150	196405	191212	I23-1089-D03	W2RPSB	W2
317287	283064	254201	246011	235922	229171	I23-1089-D04	W2RPC	W2
302574	271087	239676	233568	222181	214405	I23-1089-E01	W2RSSB	W2
98090	88397	74136	69814	65860	63279	I23-1089-E02	W2RSC	W2
80361	72104	59110	54536	51058	49440	I23-1089-E03	W2RPMu	W2
35536	31761	24509	22898	21057	20133	I23-1089-E04	W2RPC	W2
240937	209803	183882	184512	173935	168086	I23-1089-F01	W2RSMu	W2
164604	143615	118209	117468	108591	105032	I23-1089-F02	W2RSC	W2
96690	82902	64926	66138	59715	57950	I23-1089-F03	W2RPMu	W2
194356	167941	140972	143371	132700	128908	I23-1089-F04	W2RPC	W2
264262	234767	209448	205440	195908	189526	I23-1089-G01	W2RSMu	W2
90917	76559	55153	57552	50462	48242	I23-1089-G02	W2RSC	W2
81511	69688	55834	55212	51175	49439	I23-1089-G03	W2RPMu	W2
681123	620533	614851	614771	609336	568147	I23-1089-G04	SBW25	SB
292953	258577	235562	232219	223375	216318	I23-1089-H01	W2RSMu	W2
39853	28183	13583	13807	11135	9578	I23-1089-H02	W2RPSB	W2
77871	68206	55165	54525	50290	48469	I23-1089-H03	W2RPMu	W2
270611	234882	231368	232701	229346	222404	I23-1089-H04	SBW25	SB
39305	34898	27852	26714	24697	23757	I23-1093-A01	W4RSSB	W4
87257	77155	65187	60303	57644	55207	I23-1093-A02	W4RSMu	W4
33947	30368	21920	21268	18865	17877	I23-1093-A03	W4RPSB	W4
44785	40246	31464	28692	26676	25536	I23-1093-A04	W4RPMu	W4
77076	68389	55641	51493	48325	46187	I23-1093-A05	D4RSSB	D4
187584	167673	145213	139516	132013	127424	I23-1093-A06	D4RSMu	D4
83270	74204	60728	57831	53834	51954	I23-1093-A07	D4RPSB	D4
154007	136759	119883	112332	107576	104214	I23-1093-A08	D4RPMu	D4
44321	38876	26985	27154	23654	22402	I23-1093-B01	W4RSSB	W4
26190	22600	15070	13800	12419	11516	I23-1093-B02	W4RSMu	W4
83713	72261	54456	56445	50106	48201	I23-1093-B03	W4RPSB	W4
67587	58996	46305	45597	41903	40504	I23-1093-B04	W4RPC	W4
73518	64805	50952	46761	43467	41776	I23-1093-B05	D4RSSB	D4
129995	115078	95478	91361	85498	82371	I23-1093-B06	D4RSMu	D4
41003	32233	17797	21709	16325	15114	I23-1093-B07	D4RPSB	D4
93354	82866	67327	64596	59665	57050	I23-1093-B08	D4RPC	D4
83208	74457	59794	55576	52127	50115	I23-1093-C01	W4RSSB	W4
75681	67331	53869	49345	46389	44770	I23-1093-C02	W4RSC	W4
111613	99463	81346	79141	73244	71082	I23-1093-C03	W4RPSB	W4
74013	65970	53274	50020	46515	45058	I23-1093-C04	W4RPC	W4
71292	63197	49064	44969	41963	40146	I23-1093-C05	D4RSSB	D4
130319	116988	97392	92587	86432	83472	I23-1093-C06	D4RSC	D4
134710	120847	99876	95114	88877	86216	I23-1093-C07	D4RPSB	D4
189883	166179	140755	129490	123308	119298	I23-1093-C08	D4RPC	D4
68610	58749	41215	44547	37847	35984	I23-1093-D01	W4RSSB	W4
84053	72755	56948	56385	51667	49733	I23-1093-D02	W4RSC	W4
139501	123148	100562	97661	90429	87865	I23-1093-D03	W4RPSB	W4
142256	125645	107170	102150	97002	94371	I23-1093-D04	W4RPC	W4
107136	91938	70983	71041	64394	61939	I23-1093-D05	D4RSSB	D4
170477	147015	118048	120355	109233	105711	I23-1093-D06	D4RSC	D4
168635	145414	117233	119938	109058	105860	I23-1093-D07	D4RPSB	D4
181568	158230	132604	132644	122673	119046	I23-1093-D08	D4RPC	D4
101451	90184	72233	71888	65683	63468	I23-1093-E01	W4RSSB	W4
62558	55066	42962	40866	37875	36419	I23-1093-E02	W4RSC	W4
144706	128653	109585	104634	98772	96078	I23-1093-E03	W4RPMu	W4
300943	266466	237509	228837	219391	213129	I23-1093-E04	W4RPC	W4
130596	115798	96019	91442	85667	82719	I23-1093-E05	D4RSSB	D4
247093	219897	191062	186384	175681	170121	I23-1093-E06	D4RSC	D4
103066	91009	73357	70792	64932	62839	I23-1093-E07	D4RPMu	D4
211929	187456	160720	158136	148285	144018	I23-1093-E08	D4RPC	D4
80955	71394	57463	57750	53334	51770	I23-1093-F01	W4RSMu	W4
108077	94559	77353	72997	68829	66418	I23-1093-F02	W4RSC	W4
161204	144059	123625	118432	112010	108936	I23-1093-F03	W4RPMu	W4
231043	204386	178505	173653	165285	161220	I23-1093-F04	W4RPC	W4
89754	78687	62780	58247	54227	51919	I23-1093-F05	D4RSMu	D4
218136	191863	164293	159825	150657	146197	I23-1093-F06	D4RSC	D4
182151	160240	134180	130112	121524	118069	I23-1093-F07	D4RPMu	D4
168535	148549	125420	121419	113976	110452	I23-1093-F08	D4RPC	D4
95955	84361	68034	65418	60718	58733	I23-1093-G01	W4RSMu	W4
97550	87092	73486	70916	66775	64709	I23-1093-G02	W4RSC	W4
135840	121282	103711	97457	92415	89646	I23-1093-G03	W4RPMu	W4
200045	175898	150097	148865	138949	134135	I23-1093-G05	D4RSMu	D4
401914	357122	323782	317621	303696	293792	I23-1093-G06	D4RSC	D4
125674	111010	90363	88449	81210	78373	I23-1093-G07	D4RPMu	D4
187498	165358	148210	145889	139768	136052	I23-1093-H01	W4RSMu	W4
101500	90642	79359	77562	73769	71202	I23-1093-H02	W4RPSB	W4
150152	133772	117289	113134	107866	105026	I23-1093-H03	W4RPMu	W4
151185	132992	110203	111318	102327	98968	I23-1093-H05	D4RSMu	D4
376491	334442	302148	299528	286251	277609	I23-1093-H06	D4RPSB	D4
208480	184088	156590	155618	144886	140970	I23-1093-H07	D4RPMu	D4
108682	93140	81638	81838	77391	74903	I23-1095-A01	W5RSSB	W5
131258	116696	100705	97765	93008	90442	I23-1095-A02	W5RSMu	W5
62798	55525	46368	45672	43011	41789	I23-1095-A03	W5RPSB	W5
153995	138215	123474	119905	114966	112099	I23-1095-A04	W5RPMu	W5
83610	74734	59783	58877	54121	52265	I23-1095-A05	D5RSSB	D5
106898	95147	80018	75740	71546	69505	I23-1095-A06	D5RSMu	D5
125049	111689	95167	93707	87844	85312	I23-1095-A07	D5RPSB	D5
56705	50662	43134	41385	39068	37740	I23-1095-A08	D5RPMu	D5
127972	112368	96135	95359	89596	87235	I23-1095-B01	W5RSSB	W5
92660	80550	66079	57498	54837	52258	I23-1095-B02	W5RSMu	W5
110077	95603	78736	79946	74086	71960	I23-1095-B03	W5RPSB	W5
68108	61046	48533	46323	42795	41262	I23-1095-B04	W5RPC	W5
42712	35650	22569	24446	20376	19020	I23-1095-B05	D5RSSB	D5
87961	77246	61593	56432	53012	50922	I23-1095-B06	D5RSMu	D5
74612	65854	51448	49715	45592	43789	I23-1095-B07	D5RPSB	D5
87262	77429	65160	60722	57395	55573	I23-1095-B08	D5RPC	D5
107115	95451	80970	78405	74015	71990	I23-1095-C01	W5RSSB	W5
64056	57413	45419	42614	39376	37966	I23-1095-C02	W5RSC	W5
83476	74575	63909	61085	58095	56437	I23-1095-C03	W5RPSB	W5
128017	114437	96441	92285	86793	84299	I23-1095-C04	W5RPC	W5
105228	94418	76825	74668	68948	66720	I23-1095-C05	D5RSSB	D5
192873	172141	149368	140990	134147	130201	I23-1095-C06	D5RSC	D5
272965	246059	222281	216260	207652	202751	I23-1095-C07	D5RPSB	D5
143082	128530	112267	106922	101618	98963	I23-1095-C08	D5RPC	D5
80489	70626	59235	56608	53777	51997	I23-1095-D01	W5RSSB	W5
49610	43956	32871	30382	27920	26537	I23-1095-D02	W5RSC	W5
25820	19481	10601	13457	10111	9480	I23-1095-D03	W5RPSB	W5
155411	138244	118737	114604	108180	105374	I23-1095-D04	W5RPC	W5
107594	96802	80174	78544	73239	71270	I23-1095-D05	D5RSSB	D5
108245	96348	79247	73526	69270	67182	I23-1095-D06	D5RSC	D5
182813	163699	141038	138441	130560	126699	I23-1095-D07	D5RPSB	D5
173722	156823	136454	129587	122796	118957	I23-1095-D08	D5RPC	D5
277149	248632	225459	220723	211673	207132	I23-1095-E01	W5RSSB	W5
122839	110302	94630	90614	85910	83458	I23-1095-E02	W5RSC	W5
95418	85165	72079	68606	64529	62592	I23-1095-E03	W5RPMu	W5
101406	89965	73527	73483	67931	65910	I23-1095-E04	W5RPC	W5
98441	87947	70630	69235	63700	61799	I23-1095-E05	D5RSSB	D5
150703	133848	112968	106858	101137	98046	I23-1095-E06	D5RSC	D5
213670	190797	167187	163679	155307	150567	I23-1095-E07	D5RPMu	D5
111007	99390	84874	80166	76058	73802	I23-1095-E08	D5RPC	D5
105323	94094	78574	76203	71272	69076	I23-1095-F01	W5RSMu	W5
84122	75814	63169	59773	56270	54390	I23-1095-F02	W5RSC	W5
57937	51432	37671	35321	31718	30285	I23-1095-F03	W5RPMu	W5
120416	105455	84614	87019	78769	76378	I23-1095-F04	W5RPC	W5
26234	23147	15833	15284	13337	12645	I23-1095-F05	D5RSMu	D5
108023	95404	77738	71695	66989	64178	I23-1095-F06	D5RSC	D5
104749	93497	79074	76200	71696	69546	I23-1095-F07	D5RPMu	D5
116176	103464	87955	83186	78645	76590	I23-1095-F08	D5RPC	D5
157931	139375	115369	115511	106445	103030	I23-1095-G01	W5RSMu	W5
84671	75379	61114	59129	54970	53325	I23-1095-G02	W5RSC	W5
159975	142017	122209	119120	112723	109815	I23-1095-G03	W5RPMu	W5
207731	184029	160384	152850	145578	141336	I23-1095-G05	D5RSMu	D5
169798	148124	122708	119874	112152	108517	I23-1095-G06	D5RSC	D5
154809	137911	118330	113553	107038	104160	I23-1095-G07	D5RPMu	D5
179019	157334	141249	140359	133864	129892	I23-1095-H01	W5RSMu	W5
52441	46287	38581	36327	34542	33182	I23-1095-H02	W5RPSB	W5
192055	163562	141434	140289	132957	129553	I23-1095-H03	W5RPMu	W5
165767	145901	123043	119589	112313	108878	I23-1095-H05	D5RSMu	D5
184861	161835	136684	138262	128518	124877	I23-1095-H06	D5RPSB	D5
200749	178723	157716	153584	146298	142014	I23-1095-H07	D5RPMu	D5
