NZ_CP017603.1.cluster001	b'1497\n'
NZ_CP021804.1.cluster005	b'382\n'
NZ_CP019798.1.cluster016	b'1812480\n'
NZ_CP011125.1.cluster013	b'927083\n'
NZ_LT907981.1.cluster006	b'1938841\n'
NC_021237.1.cluster009	b'1124983\n'
NC_015276.1.cluster003	b'717774\n'
NZ_CP013417.1.cluster001	b'1637837\n'
NZ_CP011491.1.cluster008	b'1354275\n'
NZ_CP022433.1.cluster007	b'1355015\n'
NZ_CP025534.1.cluster002	b'1718\n'
NZ_CP012109.1.cluster022_0	b'1297742\n'
NZ_CM001985.1.cluster005	b'1224153\n'
NZ_CP014950.1.cluster013	b'36809\n'
NZ_CP013046.2.cluster001	b'615\n'
NZ_CP011492.1.cluster001	b'444103\n'
NC_010511.1.cluster011	b'426117\n'
NZ_CP020370.1.cluster001	b'1166950\n'
NZ_CP024985.1.cluster003	b'58340\n'
NZ_CP010271.1.cluster014	b'1578165\n'
NZ_AP018184.1.cluster013	b'1973475\n'
NZ_CP020563.1.cluster017	b'68173\n'
NZ_CP022741.1.cluster001	b'2025808\n'
NC_017672.3.cluster005	b'997761\n'
NZ_CM000719.1.cluster007	b'1405\n'
NZ_CP014950.1.cluster016	b'36809\n'
NZ_CP015589.1.cluster008	b'1396\n'
NZ_CP016767.1.cluster006	b'1423\n'
NZ_CP009110.1.cluster003_3	b'1068978\n'
NC_008278.1.cluster018	b'326424\n'
NZ_CP011533.1.cluster017	b'316284\n'
NZ_CP007012.1.cluster003	b'1259844\n'
NZ_CP007142.1.cluster016	b'1445510\n'
NZ_CP013141.1.cluster005	b'84531\n'
NC_022781.1.cluster007	b'1415784\n'
NC_009348.1.cluster002	b'382245\n'
NZ_CP017234.1.cluster004	b'1396\n'
NC_020990.1.cluster014	b'1886\n'
NZ_CP022753.1.cluster012	b'1235441\n'
NC_006361.1.cluster003	b'247156\n'
NZ_CP022098.1.cluster032	b'43\n'
NZ_CP024985.1.cluster028	b'58340\n'
NZ_CP011340.1.cluster003	b'38300\n'
NZ_CP022001.1.cluster010	b'287\n'
NZ_CP021904.1.cluster003	b'889453\n'
NC_017911.1.cluster005	b'1037911\n'
NC_011369.1.cluster005	b'395492\n'
NZ_CP022540.1.cluster007	b'74033\n'
NZ_CP010519.1.cluster001	b'1888\n'
NZ_CP015367.1.cluster009	b'418223\n'
NZ_LT629775.1.cluster031	b'1855352\n'
NZ_LT629708.1.cluster003	b'169669\n'
NZ_CP024932.1.cluster003	b'43770\n'
NZ_CP011341.1.cluster004	b'191292\n'
NZ_CP016188.1.cluster017	b'36809\n'
NC_007973.1.cluster006	b'266264\n'
NC_014125.1.cluster003	b'423212\n'
NZ_CP020369.1.cluster007	b'29442\n'
NC_014623.1.cluster018	b'378806\n'
NZ_CP009474.1.cluster012	b'1249475\n'
NZ_CP013845.1.cluster002	b'1491\n'
NZ_CM000754.1.cluster005	b'527032\n'
NZ_CM000731.1.cluster001	b'526984\n'
NZ_CP006871.1.cluster009	b'1434306\n'
NC_016791.1.cluster006	b'755731\n'
NC_013510.1.cluster001	b'471852\n'
NC_019905.1.cluster002	b'1215088\n'
NZ_CP015588.1.cluster008	b'1642299\n'
NZ_CP022743.1.cluster001	b'1234841\n'
NC_016947.1.cluster018	b'1138382\n'
NZ_CP021024.1.cluster010	b'2020313\n'
NZ_CP013219.1.cluster023	b'264445\n'
NZ_CP015318.1.cluster001	b'1082933\n'
NC_018027.1.cluster005	b'710421\n'
NZ_CP020466.1.cluster001	b'67780\n'
NZ_CP012584.1.cluster001	b'287\n'
NZ_CP028324.1.cluster008	b'2072590\n'
NZ_AP014637.1.cluster003_0	b'1028989\n'
NC_018500.1.cluster010	b'1218175\n'
NZ_LT607409.1.cluster007	b'356851\n'
NZ_CP009922.2.cluster016	b'408015\n'
NZ_CP016188.1.cluster002	b'36809\n'
NC_009953.1.cluster001	b'391037\n'
NZ_CP022058.2.cluster003	b'253\n'
NZ_CP016795.1.cluster008	b'47716\n'
NZ_CM003601.1.cluster025	b'1892\n'
NZ_CP007142.1.cluster001	b'1445510\n'
NZ_CP009354.1.cluster003	b'1051646\n'
NZ_CM001984.1.cluster001	b'1224145\n'
NZ_CP024956.1.cluster004	b'29471\n'
NZ_CP026177.1.cluster002	b'573\n'
NZ_CP018190.1.cluster002	b'364410\n'
NZ_CP020388.1.cluster003	b'61647\n'
NZ_CP011311.1.cluster001	b'161896\n'
NZ_CP016793.1.cluster001_16	b'1586287\n'
NZ_CP018332.1.cluster004	b'470\n'
NZ_CP027770.1.cluster002	b'46127\n'
NZ_CP009438.1.cluster025	b'1907\n'
NZ_LT629769.1.cluster006	b'317\n'
NZ_CP018063.1.cluster008	b'1570939\n'
NZ_CP013993.1.cluster003	b'1411700\n'
NC_014623.1.cluster016	b'378806\n'
NC_019757.1.cluster020	b'56107\n'
NZ_CP023142.1.cluster001	b'562\n'
